FlareID_1,Start_Time_1,Peak_Time_1,End_Time_1,hgs_lon_1,hgs_lat_1,hgc_lon_1,hgc_lat_1,131_Magnitude_1,FlareID_2,Start_Time_2,Peak_Time_2,End_Time_2,hgs_lon_2,hgs_lat_2,hgc_lon_2,hgc_lat_2,131_Magnitude_2
8116,2011-03-09 04:39:00,2011-03-09 04:43:00,2011-03-09 05:18:00,0.108408071,8.752714157,90.53068844612294,8.752714157000002,4721329.957,8232,2011-03-09 04:43:00,2011-03-09 04:51:00,2011-03-09 05:43:00,-28.054039,19.780159,62.3316410498602,19.780159000000005,3694894.996
8232,2011-03-09 04:43:00,2011-03-09 04:51:00,2011-03-09 05:43:00,-28.054039,19.780159,62.3316410498602,19.780159000000005,3694894.996,8117,2011-03-09 05:30:00,2011-03-09 05:35:00,2011-03-09 05:40:00,0.552908242,8.748636246,90.50853411928968,8.748636245999998,4118313.124
8119,2011-03-09 06:43:00,2011-03-09 06:58:00,2011-03-09 07:39:00,1.223889947,8.755446434,90.5115580602124,8.755446434000001,11496475.31,8233,2011-03-09 07:20:00,2011-03-09 07:25:00,2011-03-09 07:36:00,-28.1733284,19.78695297,60.77578518091351,19.78695297,4029571.45
8233,2011-03-09 07:20:00,2011-03-09 07:25:00,2011-03-09 07:36:00,-28.1733284,19.78695297,60.77578518091351,19.78695297,4029571.45,8120,2011-03-09 07:24:00,2011-03-09 07:32:00,2011-03-09 07:37:00,1.555244803,8.758262634,90.467757869853,8.758262634,10839679.89
8121,2011-03-09 08:51:00,2011-03-09 08:56:00,2011-03-09 09:11:00,2.43138957,8.783675194,90.54784029194776,8.783675194,17192738.61,8234,2011-03-09 09:09:00,2011-03-09 09:15:00,2011-03-09 09:25:00,-27.38716125,19.75516701,60.564586639676776,19.75516701,4608578.487
8235,2011-03-09 10:17:00,2011-03-09 10:22:00,2011-03-09 10:46:00,-26.53761101,19.77552414,60.79192531793744,19.77552414,4292572.737,8122,2011-03-09 10:36:00,2011-03-09 10:57:00,2011-03-09 11:12:00,3.308635712,8.803853989,90.46431856556534,8.803853989,11922175.94
8122,2011-03-09 10:36:00,2011-03-09 10:57:00,2011-03-09 11:12:00,3.308635712,8.803853989,90.46431856556534,8.803853989,11922175.94,8236,2011-03-09 11:56:00,2011-03-09 12:03:00,2011-03-09 12:12:00,-25.67425728,19.75452042,60.74940977428357,19.75452042,4960401.874
8236,2011-03-09 11:56:00,2011-03-09 12:03:00,2011-03-09 12:12:00,-25.67425728,19.75452042,60.74940977428357,19.75452042,4960401.874,8124,2011-03-09 12:34:00,2011-03-09 12:46:00,2011-03-09 13:03:00,4.623566628,8.813770294,90.69952551423448,8.813770293999998,4081695.373
8124,2011-03-09 12:34:00,2011-03-09 12:46:00,2011-03-09 13:03:00,4.623566628,8.813770294,90.69952551423448,8.813770293999998,4081695.373,8237,2011-03-09 12:48:00,2011-03-09 12:52:00,2011-03-09 13:00:00,-25.25596046,19.76156044,60.691895309111366,19.761560440000004,3571913.413
8237,2011-03-09 12:48:00,2011-03-09 12:52:00,2011-03-09 13:00:00,-25.25596046,19.76156044,60.691895309111366,19.761560440000004,3571913.413,8125,2011-03-09 13:50:00,2011-03-09 14:04:00,2011-03-09 14:35:00,5.166989326,8.821371078,90.54753059205814,8.821371077999999,29247335.81
